,岗位,企业,城市,薪资,经验,学历
39,高级Java开发工程师,杭州安恒信息技术股份有限公司,北京,20000.0,5-10年,本科
40,java开发工程师,重庆泓宝科技股份有限公司,重庆,10000.0,5-10年,本科
41,Java开发工程师,电讯盈科信息技术（广州）有限公司,香港,20000.0,3-5年,大专
42,java开发工程师,北京健康在线网络技术有限公司,上海,12000.0,3-5年,本科
43,高级java开发工程师,美的集团股份有限公司,佛山,20000.0,5-10年,本科
44,java高级开发工程师,深圳楚星软件有限公司,深圳,13000.0,5-10年,大专
45,高级java开发工程师,广东瀚阳轨道信息科技有限公司,广州,15000.0,3-5年,本科
46,java开发工程师,慧博云通科技股份有限公司,宁波,10000.0,3-5年,本科
47,高级java开发工程师,湖南映秀信息科技有限公司广州分公司,广州,18000.0,5-10年,本科
48,java开发工程师,每日互动股份有限公司,杭州,15000.0,3-5年,本科
49,JAVA工程师,上海速强信息技术股份有限公司,上海,8000.0,1-3年,大专
50,java开发工程师,成都承影科技有限责任公司,成都,8000.0,3-5年,本科
51,高级java开发工程师,北京欧美澳软件技术有限公司,合肥,12000.0,5-10年,本科
52,java开发工程师,深圳市网新新思软件有限公司,深圳,14000.0,3-5年,大专
53,java开发工程师,安徽屹通信息科技发展有限公司,北京,15000.0,1-3年,本科
54,java开发工程师,南京叶子科技有限公司,深圳,20000.0,5-10年,本科
55,java开发工程师,赞同科技股份有限公司,苏州,11000.0,1-3年,本科
56,JAVA工程师,广东美的制冷设备有限公司,武汉,15000.0,5-10年,本科
57,高级java开发工程师,京北方信息技术股份有限公司,北京,20000.0,5-10年,本科
58,java开发工程师,浙江优创信息技术有限公司,杭州,13000.0,3-5年,本科
59,高级java开发工程师,北京桔多多电子商务有限公司,北京,30000.0,5-10年,本科
60,java开发工程师,中电金信软件有限公司,成都,13000.0,3-5年,本科
61,java高级开发工程师,深圳汇银通产业互联网有限公司,深圳,20000.0,3-5年,本科
62,java开发工程师,上海宝旗信息科技有限公司,上海,15000.0,3-5年,本科
63,java开发工程师,杭州蔻蔻品牌管理有限公司,杭州,12000.0,3-5年,本科
64,高级java开发工程师,柏美迪康环境科技（上海）股份有限公司,成都,15000.0,5-10年,本科
65,Java开发工程师,杭州榜置科技有限公司,杭州,14000.0,5-10年,本科
66,Java开发工程师,上海品腾信息技术有限公司,上海,15000.0,5-10年,本科
67,java开发工程师,慧博云通科技股份有限公司,宁波,10000.0,3-5年,本科
68,高级java开发工程师,湖南映秀信息科技有限公司广州分公司,广州,18000.0,5-10年,本科
69,java开发工程师,友邦资讯科技（广州）有限公司,北京,15000.0,3-5年,本科
70,高级java开发工程师,厦门不妨游戏科技有限公司,厦门,15000.0,3-5年,大专
71,java开发工程师,每日互动股份有限公司,杭州,15000.0,3-5年,本科
72,JAVA工程师,广州希音供应链管理有限公司,南京,20000.0,3-5年,本科
73,JAVA开发工程师,盛趣信息技术（上海）有限公司,上海,15000.0,1-3年,不限
74,JAVA工程师,上海咪啰信息科技有限公司,上海,13000.0,3-5年,本科
75,java开发工程师,中科软科技股份有限公司,上海,10000.0,1-3年,本科
76,java开发工程师,赞同科技股份有限公司,苏州,11000.0,1-3年,本科
77,java高级开发工程师,上海微创软件股份有限公司,北京,15000.0,3-5年,本科
78,java开发工程师,浙江优创信息技术有限公司,杭州,13000.0,3-5年,本科
79,高级java开发工程师,北京桔多多电子商务有限公司,北京,30000.0,5-10年,本科
80,java开发工程师,中科软科技股份有限公司,北京,13000.0,3-5年,本科
81,java高级开发工程师,深圳彩橙树信息科技有限公司,深圳,25000.0,5-10年,大专
82,java高级开发工程师,浙江新蓝网络传媒有限公司,杭州,16000.0,3-5年,本科
83,高级java开发工程师,上海幕库科技发展有限公司,上海,18000.0,3-5年,本科
84,高级java开发工程师,北京江融信科技有限公司,广州,20000.0,5-10年,本科
85,java开发工程师,北京视野智慧数字科技有限公司,杭州,11000.0,3-5年,本科
86,Java开发工程师,广东智源信息技术有限公司,广州,6000.0,1年以下,本科
87,java开发工程师,深圳太极数智技术有限公司,深圳,15000.0,3-5年,本科
88,java开发工程师,北方云景科技（北京）有限公司,杭州,14000.0,5-10年,本科
89,Java开发工程师,成都智源易行科技有限公司,成都,13000.0,3-5年,本科
90,java开发工程师,杭州中湘科技有限公司,广州,20000.0,3-5年,本科
91,Java开发工程师,德科信息有限公司,广州,10000.0,1-3年,本科
92,java开发工程师,深圳金数汇信息技术有限公司北京分公司,北京,10000.0,1-3年,本科
93,java开发工程师,广东省电信规划设计院有限公司,中山,10000.0,1-3年,本科
94,java开发工程师,昆仑太科（北京）技术股份有限公司,成都,10000.0,3-5年,本科
95,java开发工程师,前锦网络信息技术（上海）有限公司,上海,16000.0,3-5年,本科
96,java工程师,北京浮德光电科技有限公司,北京,10000.0,3-5年,本科
97,高级java开发工程师,北京默契破冰科技有限公司,北京,25000.0,5-10年,本科
98,java开发工程师,鲸灵云（杭州）智能有限公司,杭州,17000.0,3-5年,本科
99,java开发工程师,盈宝网络科技（广州）有限公司,深圳,18000.0,3-5年,本科
100,java开发工程师,深圳北鲲云计算有限公司,深圳,15000.0,3-5年,本科
101,java开发工程师,深圳市汇合发展有限公司,深圳,12000.0,3-5年,本科
102,java开发工程师,上海马帮科技有限公司,上海,15000.0,3-5年,本科
103,JAVA工程师,深圳市脉山龙信息技术股份有限公司,上海,15000.0,3-5年,本科
104,java工程师,深圳市睿服科技有限公司,青岛,12000.0,3-5年,大专
105,高级java开发工程师,上海引旅信息技术服务有限公司,上海,25000.0,3-5年,本科
106,高级JAVA开发工程师,杭州拓麦科技有限公司,杭州,12000.0,不限,本科
107,高级java开发工程师,鹿客科技（北京）股份有限公司,北京,25000.0,5-10年,本科
108,java开发工程师,杭州数正云悦科技合伙企业（有限合伙）,杭州,15000.0,3-5年,本科
109,java开发工程师,广州谷沃信息科技有限公司,南宁,5000.0,1-3年,本科
110,高级java开发工程师,证通股份有限公司,合肥,13000.0,3-5年,本科
111,java开发工程师,惠尔丰信息系统有限公司,福州,15000.0,5-10年,本科
112,高级java开发工程师,北京中招互连应用科技有限公司,北京,20000.0,5-10年,本科
113,高级java开发工程师,中科软科技股份有限公司,北京,15000.0,3-5年,本科
114,java高级开发工程师,上海珞瑾数据信息有限公司,上海,20000.0,3-5年,本科
115,Java开发工程师,深圳达实旗云健康科技有限公司,成都,12000.0,3-5年,本科
116,java开发工程师,广州新晨信息系统工程有限公司,广州,12000.0,3-5年,本科
117,java开发工程师,泰豪软件股份有限公司,西安,8000.0,不限,本科
118,高级java开发工程师,上海睿沃信息科技有限公司,上海,20000.0,5-10年,本科
119,java高级开发工程师,上海瑛麒动漫科技有限公司,上海,20000.0,5-10年,本科
120,java工程师,泰豪软件股份有限公司,北京,10000.0,3-5年,本科
121,java开发工程师,泰豪软件股份有限公司,长春,8000.0,3-5年,本科
122,java开发工程师,湖北天天数链技术有限公司,宁波,8000.0,1-3年,本科
123,Java开发工程师,金蝶软件（中国）有限公司,深圳,16000.0,3-5年,本科
124,java高级开发工程师,成都淞幸科技有限责任公司,成都,12000.0,5-10年,本科
125,java高级开发工程师,成都淞幸科技有限责任公司,北京,25000.0,5-10年,本科
126,高级java开发工程师,北京搜狐新媒体信息技术有限公司,北京,20000.0,3-5年,本科
127,java开发工程师,深圳市赢胜数据科技有限公司,佛山,12000.0,3-5年,本科
128,java开发工程师,四川智胜慧安信息技术有限公司,乌鲁木齐,10000.0,3-5年,本科
129,高级java开发工程师,北银消费金融有限公司,北京,25000.0,10年以上,本科
130,高级java开发工程师,贝壳找房（北京）科技有限公司,北京,20000.0,1-3年,本科
131,Java开发工程师,北京普睿德利科技有限公司,贵阳,10000.0,1-3年,本科
132,java开发工程师,西安人瑞网络科技有限公司,成都,20000.0,1-3年,本科
133,JAVA工程师,杭州邦睿科技有限公司,杭州,11000.0,3-5年,本科
134,JAVA工程师,中科软科技股份有限公司,北京,13000.0,3-5年,本科
135,java开发工程师,北京容联易通信息技术有限公司,佛山,15000.0,3-5年,本科
136,java开发工程师,深圳前海百递网络有限公司,深圳,11000.0,3-5年,本科
137,高级java开发工程师,广东致创数字科技有限公司,佛山,15000.0,3-5年,本科
138,高级java开发工程师,贝壳找房（北京）科技有限公司,北京,20000.0,1-3年,本科
139,java开发工程师,北京摩尔斯科技有限公司,成都,12000.0,3-5年,本科
140,Java开发工程师,北京普睿德利科技有限公司,贵阳,10000.0,1-3年,本科
141,JAVA工程师,杭州邦睿科技有限公司,杭州,11000.0,3-5年,本科
142,高级java开发工程师,泰康在线财产保险股份有限公司,北京,15000.0,3-5年,本科
143,java开发工程师,雄安云起技术有限公司北京分公司,北京,13000.0,3-5年,本科
144,高级java开发工程师,太平洋房地产经纪有限公司,上海,20000.0,3-5年,本科
145,高级java开发工程师,希望知舟技术（深圳）有限公司,深圳,11000.0,3-5年,本科
146,java开发工程师,上海铭垚信息科技有限公司,上海,10000.0,1-3年,本科
147,java开发工程师,中电运行（北京）信息技术有限公司,南宁,6000.0,3-5年,本科
148,高级java开发工程师,上海喜鹊到网络技术有限公司,上海,17000.0,5-10年,本科
149,java开发工程师,北京京环智慧环保科技有限公司武汉分公司,武汉,12000.0,1-3年,本科
150,java工程师,上海国泰君安证券资产管理有限公司,上海,20000.0,3-5年,硕士
151,java开发工程师,上海申元工程投资咨询有限公司,上海,15000.0,5-10年,本科
152,java高级开发工程师,成都卡社诺网络技术有限责任公司,重庆,20000.0,3-5年,本科
153,java开发工程师,广东睿盟计算机科技有限公司,广州,7000.0,1-3年,本科
154,java开发工程师,上海劢联企业管理咨询有限公司,上海,18000.0,5-10年,本科
155,java工程师,京北方信息技术股份有限公司,北京,15000.0,5-10年,本科
156,java开发工程师,浩云科技股份有限公司,广州,15000.0,3-5年,本科
157,java开发工程师,深圳市鹏鼎创盈金融信息服务股份有限公司,深圳,15000.0,3-5年,本科
158,java开发工程师,杭州邦睿科技有限公司,杭州,11000.0,1-3年,本科
159,java开发工程师,亚信科技（中国）有限公司,广州,20000.0,3-5年,本科
160,java开发工程师,杭州邦睿科技有限公司,杭州,11000.0,1-3年,本科
161,JAVA开发工程师,上海创景信息科技有限公司,上海,12000.0,1-3年,本科
162,Java开发工程师,前锦网络信息技术（上海）有限公司,上海,15000.0,3-5年,本科
163,java开发工程师,京北方信息技术股份有限公司,深圳,13000.0,3-5年,本科
164,JAVA开发工程师,深圳市客路网络科技有限公司,上海,12000.0,3-5年,本科
165,JAVA开发工程师,深圳市客路网络科技有限公司,上海,12000.0,3-5年,本科
166,java开发工程师,北京星尘纪元智能科技有限公司,北京,20000.0,3-5年,本科
167,java开发工程师,深圳市汇合发展有限公司,深圳,14000.0,3-5年,本科
168,java开发工程师,亚信科技（中国）有限公司,天津,7000.0,1-3年,大专
169,java工程师,深圳市睿服科技有限公司,上海,13000.0,3-5年,大专
170,高级java开发工程师,广州微易软件有限公司,广州,18000.0,5-10年,本科
171,java高级开发工程师,深圳市万睿智能科技有限公司,深圳,20000.0,5-10年,本科
172,java开发工程师,成都管家婆云科技有限公司,成都,13000.0,5-10年,大专
173,java开发工程师,深圳市金证科技股份有限公司,深圳,11000.0,1-3年,本科
174,高级java开发工程师,融捷教育科技有限公司,北京,20000.0,3-5年,本科
175,java开发工程师,中科软科技股份有限公司,北京,8000.0,1-3年,本科
176,Java开发工程师,北京普睿德利科技有限公司,广州,10000.0,3-5年,本科
177,java开发工程师,北京工商管理专修学院,北京,13000.0,3-5年,本科
178,高级java开发工程师,上海维信荟智金融科技有限公司,上海,15000.0,3-5年,本科
179,Java开发工程师,广州趣米网络科技有限公司,广州,8000.0,1-3年,本科
180,java高级开发工程师,京北方信息技术股份有限公司,西安,14000.0,5-10年,本科
181,java开发工程师,京北方信息技术股份有限公司,上海,15000.0,3-5年,本科
182,java开发工程师,北京睿智思科科技发展有限公司,北京,7000.0,不限,本科
183,java开发工程师,德科信息有限公司,深圳,15000.0,3-5年,本科
184,java开发工程师,成都魔豆互动科技有限公司,成都,8000.0,3-5年,大专
185,java开发工程师,广东百德朗科技有限公司,广州,10000.0,3-5年,本科
186,java开发工程师,中教畅享（北京）科技有限公司,北京,10000.0,不限,本科
187,高级java开发工程师,建信金融科技有限责任公司,深圳,30000.0,5-10年,本科
188,高级java开发工程师,前锦网络信息技术（上海）有限公司,上海,20000.0,5-10年,本科
189,java高级开发工程师,北京君禾世纪科技有限公司,北京,20000.0,5-10年,本科
190,高级java开发工程师,亚信科技（中国）有限公司,北京,15000.0,3-5年,本科
191,java开发工程师,中科软科技股份有限公司,上海,8000.0,3-5年,本科
192,高级java开发工程师,深圳市领星网络科技有限公司,深圳,30000.0,3-5年,本科
193,Java开发工程师,深圳市客路网络科技有限公司,深圳,15000.0,1-3年,本科
194,java开发工程师,杭州乌鸫科技有限公司,杭州,15000.0,3-5年,本科
195,java高级开发工程师,上扬软件（上海）有限公司,武汉,12000.0,3-5年,本科
196,java高级开发工程师,上扬软件（上海）有限公司,成都,14000.0,5-10年,本科
197,java开发工程师,京北方信息技术股份有限公司,广州,11000.0,1-3年,本科
198,java高级开发工程师,北京君禾世纪科技有限公司,北京,20000.0,5-10年,本科
199,高级java开发工程师,金蝶软件（中国）有限公司,深圳,25000.0,5-10年,本科
200,java开发工程师,深圳市小赢科技有限责任公司,深圳,12000.0,1-3年,本科
201,java高级开发工程师,北京中电博亚科技有限公司,北京,25000.0,5-10年,本科
202,Java开发工程师,深圳市客路网络科技有限公司,深圳,15000.0,1-3年,本科
203,java开发工程师,平安付智能技术有限公司,上海,15000.0,3-5年,本科
204,java开发工程师,深圳市掌上智珠网络技术有限公司,深圳,12000.0,3-5年,本科
205,高级java开发工程师,广州宸祺出行科技有限公司,广州,20000.0,5-10年,本科
206,JAVA开发工程师,深圳市博奥特科技有限公司,深圳,12000.0,3-5年,本科
207,Java高级开发工程师,算话智能科技有限公司,上海,12000.0,1-3年,本科
208,java高级开发工程师,深圳市移卡科技有限公司,深圳,20000.0,5-10年,本科
209,高级java开发工程师,京北方信息技术股份有限公司,深圳,18000.0,5-10年,本科
210,java开发工程师,京北方信息技术股份有限公司,西安,8000.0,3-5年,本科
211,java高级开发工程师,中教畅享（北京）科技有限公司,北京,30000.0,3-5年,本科
212,高级java开发工程师,杭州米友圈科技有限公司,杭州,18000.0,5-10年,本科
213,Java开发工程师,北京拉勾网络技术有限公司,北京,20000.0,5-10年,本科
214,java开发工程师,上海咪啰信息科技有限公司,上海,8000.0,不限,本科
215,java高级开发工程师,广州羊城通有限公司,广州,10000.0,3-5年,本科
216,Java,深圳市汇合发展有限公司,杭州,12000.0,3-5年,本科
217,java开发工程师,华为技术有限公司,西安,10000.0,1-3年,本科
218,java高级开发工程师,中华联合财产保险股份有限公司,杭州,20000.0,5-10年,本科
219,高级java开发工程师,建信金融科技有限责任公司,广州,20000.0,5-10年,本科
220,java高级开发工程师,格尔软件股份有限公司,上海,20000.0,5-10年,本科
221,高级java开发工程师,建信金融科技有限责任公司,深圳,25000.0,5-10年,本科
222,高级java开发工程师,广东瀚阳轨道信息科技有限公司,广州,14000.0,5-10年,本科
223,Java开发工程师,北京新微科技有限公司,廊坊,8000.0,3-5年,本科
224,java工程师,上海荆桂智能科技有限公司,上海,10000.0,1-3年,本科
225,JAVA开发工程师,深圳市博奥特科技有限公司,深圳,12000.0,3-5年,本科
226,java开发工程师,北京地平线云数科技有限公司,北京,15000.0,3-5年,本科
227,高级java开发工程师,上海铭垚信息科技有限公司,上海,20000.0,5-10年,本科
228,java高级开发工程师,深圳市移卡科技有限公司,深圳,20000.0,5-10年,本科
229,java开发工程师,深圳市玄关健康医疗互联网有限公司,深圳,12000.0,3-5年,本科
230,Java开发工程师,蜂助手股份有限公司,广州,15000.0,3-5年,本科
231,java高级开发工程师,金蝶软件（中国）有限公司,深圳,25000.0,5-10年,本科
232,java开发工程师,浙江大禹信息技术有限公司,杭州,10000.0,1-3年,本科
233,java开发工程师,中国互联网络信息中心,北京,10000.0,不限,硕士
234,java开发工程师,北京铸云网络科技有限公司,北京,15000.0,3-5年,本科
235,java开发工程师,深圳市汇合发展有限公司,成都,11000.0,3-5年,本科
236,Java开发工程师,深圳市博奥特科技有限公司,深圳,14000.0,3-5年,大专
237,java开发工程师,广州羊城通有限公司,广州,9000.0,1-3年,本科
238,高级java开发工程师,北京广通优云科技股份有限公司杭州分公司,北京,20000.0,5-10年,本科
239,java开发工程师,上海速石信息科技有限公司,上海,15000.0,3-5年,本科
240,java高级开发工程师,上海文沥信息技术有限公司,上海,15000.0,5-10年,本科
241,java开发工程师,上海文沥信息技术有限公司,合肥,10000.0,3-5年,本科
242,java高级开发工程师,福寿康（上海）医疗养老服务有限公司,上海,15000.0,3-5年,本科
243,java高级开发工程师,上海事成软件股份有限公司,上海,15000.0,1-3年,本科
244,高级java开发工程师,上海易路软件有限公司,上海,30000.0,5-10年,本科
245,Java开发工程师,北京拉勾网络技术有限公司,北京,20000.0,5-10年,本科
246,java开发工程师,上海咪啰信息科技有限公司,上海,8000.0,不限,本科
247,高级java开发工程师,四川兴政信息技术有限公司,成都,12000.0,5-10年,本科
248,java高级开发工程师,北京鲸灵数据科技有限公司,北京,25000.0,5-10年,本科
249,java高级开发工程师,格尔软件股份有限公司,南京,20000.0,5-10年,本科
250,java高级开发工程师,格尔软件股份有限公司,上海,20000.0,5-10年,本科
251,Java高级开发工程师,上海瑛麒动漫科技有限公司,厦门,15000.0,5-10年,本科
252,java开发工程师,杭州米友圈科技有限公司,杭州,15000.0,5-10年,大专
253,高级java开发工程师,北京达佳互联信息技术有限公司,北京,35000.0,3-5年,本科
254,java工程师,上海荆桂智能科技有限公司,上海,10000.0,1-3年,本科
255,高级java开发工程师,北京联龙博通电子商务技术有限公司,上海,18000.0,5-10年,大专
256,java开发工程师,深圳市同和信息技术有限公司,深圳,16000.0,3-5年,本科
257,java开发工程师,安徽屹通信息科技发展有限公司,济南,9000.0,3-5年,本科
258,java开发工程师,深圳市同和信息技术有限公司,深圳,13000.0,3-5年,本科
259,java开发工程师,成都思而科软件有限公司,成都,12000.0,3-5年,本科
260,java开发工程师,深圳市给力能源科技有限公司,深圳,11000.0,3-5年,本科
261,java开发工程师,深圳市领星网络科技有限公司,深圳,20000.0,1-3年,本科
262,高级java开发工程师,泰康在线财产保险股份有限公司,武汉,10000.0,5-10年,本科
263,高级Java开发工程师,杭州安恒信息技术股份有限公司,北京,20000.0,5-10年,本科
264,java开发工程师,深圳市汇合发展有限公司,深圳,16000.0,3-5年,本科
265,高级java开发工程师,美的集团股份有限公司,佛山,20000.0,5-10年,本科
266,java开发工程师,深圳市汇合发展有限公司,深圳,15000.0,3-5年,本科
267,Java开发工程师,杭州安恒信息技术股份有限公司,杭州,15000.0,3-5年,本科
268,java开发工程师,深圳楚星软件有限公司,深圳,15000.0,5-10年,大专
269,java高级开发工程师,深圳楚星软件有限公司,深圳,13000.0,5-10年,大专
270,高级java开发工程师,建信金融科技有限责任公司,广州,20000.0,5-10年,本科
271,java高级开发工程师,格尔软件股份有限公司,上海,20000.0,5-10年,本科
272,Java高级开发工程师,上海瑛麒动漫科技有限公司,厦门,15000.0,5-10年,本科
273,高级java开发工程师,北京达佳互联信息技术有限公司,北京,35000.0,3-5年,本科
274,java工程师,上海荆桂智能科技有限公司,上海,10000.0,1-3年,本科
275,Java开发工程师,上海易路软件有限公司,上海,20000.0,3-5年,本科
276,高级Java开发工程师,国泰财产保险有限责任公司,上海,25000.0,5-10年,本科
277,JAVA高级开发工程师,杭州绿云科技有限公司,杭州,15000.0,3-5年,本科
278,java开发工程师,奕兆科技（深圳）有限公司,深圳,18000.0,5-10年,本科
279,java开发工程师,上海收钱吧互联网科技股份有限公司,苏州,18000.0,3-5年,本科
280,JAVA,杭州数途信息科技有限公司,杭州,10000.0,1-3年,本科
281,Java开发工程师,特赞（上海）信息科技有限公司,上海,18000.0,1-3年,本科
282,高级java开发工程师,京北方信息技术股份有限公司,北京,17000.0,5-10年,本科
283,java开发工程师,深圳市友点科技有限公司,宁波,13000.0,3-5年,本科
284,java开发工程师,深圳市友点科技有限公司,宁波,13000.0,3-5年,本科
285,java开发工程师,深圳太极数智技术有限公司,深圳,14000.0,3-5年,本科
286,高级java开发工程师,柏美迪康环境科技（上海）股份有限公司,上海,25000.0,3-5年,本科
287,java开发工程师,加绩（上海）科技服务有限公司,上海,14000.0,3-5年,本科
288,java开发工程师,昆仑太科（北京）技术股份有限公司,成都,15000.0,5-10年,本科
289,java开发工程师,北京卓越晨星科技有限公司,北京,20000.0,5-10年,本科
290,java开发工程师,北京联龙博通电子商务技术有限公司,上海,17000.0,5-10年,本科
291,java开发工程师,深圳市同和信息技术有限公司,深圳,13000.0,3-5年,本科
292,java开发工程师,北京东方华数信息技术有限公司,北京,10000.0,3-5年,本科
293,java开发工程师,深圳市汇合发展有限公司,深圳,15000.0,3-5年,本科
294,高级java开发工程师,广东瀚阳轨道信息科技有限公司,广州,15000.0,5-10年,本科
295,java开发工程师,深圳楚星软件有限公司,深圳,15000.0,5-10年,大专
296,高级java开发工程师,上海景栗信息科技有限公司,北京,18000.0,3-5年,本科
297,java开发工程师,上海浩宜信息科技有限公司,上海,12000.0,3-5年,本科
298,java开发工程师,北京神舟航天软件技术股份有限公司,济南,11000.0,3-5年,本科
299,java开发工程师,西安人瑞网络科技有限公司,北京,15000.0,1-3年,本科
300,java开发工程师,西安人瑞网络科技有限公司,深圳,30000.0,5-10年,本科
301,java开发工程师,深圳太极数智技术有限公司,深圳,15000.0,3-5年,本科
302,java开发工程师,北方云景科技（北京）有限公司,杭州,14000.0,5-10年,本科
303,java开发工程师,友邦资讯科技（广州）有限公司,成都,19000.0,5-10年,本科
304,高级Java开发工程师,成都智源易行科技有限公司,成都,18000.0,5-10年,本科
305,高级java开发工程师,广州希音供应链管理有限公司,广州,20000.0,5-10年,本科
306,Java开发工程师,广州讯鸿网络技术有限公司,广州,12000.0,3-5年,本科
307,Java开发工程师,上海磐农信息科技有限公司,上海,15000.0,5-10年,本科
308,高级java开发工程师,欧特克（中国）软件研发有限公司,上海,30000.0,5-10年,本科
309,高级java开发工程师,电讯盈科信息技术（广州）有限公司,广州,17000.0,5-10年,本科
310,java开发工程师,广州浩传网络科技有限公司,广州,9000.0,1-3年,本科
311,java开发工程师,杭州上行创盈科技有限公司,杭州,20000.0,3-5年,本科
312,java开发工程师,上海悦程信息技术有限公司,上海,11000.0,1-3年,本科
313,高级java开发工程师,佛山美云智数科技有限公司,武汉,13000.0,5-10年,大专
314,java开发工程师,前锦网络信息技术（上海）有限公司,上海,16000.0,3-5年,本科
315,高级java开发工程师,深圳市睿服科技有限公司,青岛,14000.0,3-5年,大专
316,java开发工程师,北京东方华数信息技术有限公司,北京,10000.0,3-5年,本科
317,高级java开发工程师,湖南映秀信息科技有限公司广州分公司,广州,18000.0,5-10年,本科
318,java高级开发工程师,淘礼礼贸易（深圳）有限公司,深圳,18000.0,3-5年,本科
319,JAVA工程师,广州希音供应链管理有限公司,南京,20000.0,3-5年,本科
320,JAVA开发工程师,盛趣信息技术（上海）有限公司,上海,15000.0,1-3年,不限
321,java开发工程师,成都承影科技有限责任公司,成都,8000.0,3-5年,本科
322,java开发工程师,上海幕库科技发展有限公司,上海,13000.0,3-5年,本科
323,JAVA工程师,广东美的制冷设备有限公司,武汉,20000.0,5-10年,本科
324,高级java开发工程师,北京欧美澳软件技术有限公司,合肥,12000.0,5-10年,本科
325,JAVA工程师,上海咪啰信息科技有限公司,上海,13000.0,3-5年,本科
326,java开发工程师,南京叶子科技有限公司,深圳,20000.0,5-10年,本科
327,java工程师,深圳楚星软件有限公司,深圳,15000.0,5-10年,本科
328,java开发工程师,上海数瞳信息科技有限公司,上海,15000.0,3-5年,本科
329,高级java开发工程师,京北方信息技术股份有限公司,北京,20000.0,5-10年,本科
330,java开发工程师,上海维信荟智金融科技有限公司,深圳,18000.0,3-5年,本科
331,Java开发工程师,北京搜狐新媒体信息技术有限公司,北京,18000.0,1-3年,本科
332,java开发工程师,中科软科技股份有限公司,深圳,12000.0,3-5年,本科
333,java开发工程师,广东森旭通用设备科技有限公司,佛山,15000.0,5-10年,本科
334,java开发工程师,深圳市优诚信息技术有限公司,天津,15000.0,不限,大专
335,高级java开发工程师,杭州富阳海康保泰安防技术服务有限公司,杭州,13000.0,3-5年,本科
336,java开发工程师,北京中招互连应用科技有限公司,北京,13000.0,3-5年,本科
337,java开发工程师,昆仑太科（北京）技术股份有限公司,北京,10000.0,3-5年,本科
338,高级java开发工程师,京北方信息技术股份有限公司,北京,18000.0,5-10年,本科
339,java开发工程师,西安人瑞网络科技有限公司,杭州,15000.0,3-5年,大专
