岗位,公司名称,城市,薪资,经历要求,学历
python开发工程师(2023届应届毕业生),因诺（上海）资产管理有限公司,北京,15k-25k,不限,本科
Python系统开发工程师,上海仲阳天王星数据科技有限公司,成都,15k-30k,不限,本科
Python系统开发工程师,上海仲阳天王星数据科技有限公司,深圳,15k-30k,不限,本科
运维开发工程师（python/go）,富途网络科技（深圳）有限公司,深圳,15k-30k,3-5年,本科
客户端开发工程师（python) (MJ000040),深圳淘乐网络科技有限公司,深圳,10k-20k,1-3年,本科
Python开发工程师（FUNC 平台）,上海观测未来信息技术有限公司,上海,13k-18k,不限,本科
python高级开发工程师,深圳市言羽科技有限公司,北京,30k-50k,1-3年,本科
python高级开发工程师,智库人工智能科技（广州）有限公司,广州,15k-30k,3-5年,本科
高级python开发工程师,上海晓途网络科技有限公司,上海,20k-40k,5-10年,本科
python工程师（兼职）,美译通（深圳）翻译有限公司,深圳,2k-4k,不限,硕士
高级python,达而观信息科技（上海）有限公司,上海,15k-25k,3-5年,本科
Python高级（SG0303）,长沙蜜獾信息科技有限公司,长沙,10k-15k,3-5年,本科
宝马对话AI-项目高级工程师-Python/GO(A73030),上海茗日智能科技有限公司,北京,16k-28k,5-10年,本科
python开发工程师（急招，周末双休）,京北方信息技术股份有限公司,北京,16k-22k,3-5年,本科
服务器python开发工程师 (MJ000101),深圳淘乐网络科技有限公司,深圳,15k-25k,3-5年,本科
高级python开发工程师,深圳软牛科技有限公司,深圳,15k-25k,3-5年,本科
高级python,达而观信息科技（上海）有限公司,上海,15k-25k,3-5年,本科
Python高级（SG0303）,长沙蜜獾信息科技有限公司,长沙,10k-15k,3-5年,本科
核心业务-后端工程师-Python-实习(A34060),上海茗日智能科技有限公司,北京,2k-3k,不限,本科
宝马对话AI-后端工程师-Python(A205501),上海茗日智能科技有限公司,北京,11k-20k,1-3年,本科
服务器python开发工程师 (MJ000101),深圳淘乐网络科技有限公司,深圳,15k-25k,3-5年,本科
游戏数据分析师（熟悉python）,德科信息有限公司,广州,10k-20k,1-3年,本科
Python 开发工程师,广州爱范儿科技股份有限公司,广州,20k-30k,3-5年,本科
Python 开发工程师,广州爱范儿科技股份有限公司,广州,10k-20k,1-3年,本科
Python开发实习生,广东赛博威信息科技有限公司,广州,3k-4k,不限,本科
python运维开发工程师,江苏博云科技股份有限公司,南京,6k-8k,不限,本科
Python中级（SA0302）,长沙蜜獾信息科技有限公司,长沙,12k-15k,3-5年,本科
python资深软件工程师,维我软件（上海）有限公司,北京,35k-50k,10年以上,本科
中级python开发 (MJ000065),赞同科技股份有限公司,广州,10k-15k,1-3年,大专
python数据开发工程师,上海仲阳天王星数据科技有限公司,深圳,15k-30k,不限,本科
python数据开发工程师,上海仲阳天王星数据科技有限公司,上海,15k-30k,不限,本科
中级python开发工程师,北京中北信科技发展有限公司,北京,15k-18k,3-5年,大专
python资深软件工程师,维我软件（上海）有限公司,北京,35k-50k,10年以上,本科
中级python开发 (MJ000065),赞同科技股份有限公司,广州,10k-15k,1-3年,大专
Python系统开发工程师,上海仲阳天王星数据科技有限公司,上海,15k-30k,不限,本科
Python系统开发工程师,上海仲阳天王星数据科技有限公司,深圳,15k-30k,不限,本科
高级python开发工程师,证通股份有限公司,上海,20k-25k,3-5年,硕士
Python开发工程师（RPA业务部）,浙江保融科技股份有限公司,杭州,15k-30k,3-5年,本科
Python开发交付工程师,浙江保融科技股份有限公司,杭州,13k-26k,3-5年,本科
深圳python开发工程师,达而观信息科技（上海）有限公司,深圳,15k-30k,1-3年,本科
后端研发工程师(Python)(JB79P),上海茗日智能科技有限公司,上海,12k-24k,1-3年,本科
运维开发工程师(python),鲸灵云（杭州）智能有限公司,杭州,17k-28k,5-10年,本科
python数据分析经理,北京志翔科技股份有限公司,北京,25k-35k,3-5年,本科
python后端开发工程师,加绩（上海）科技服务有限公司,上海,15k-20k,3-5年,本科
软件开发python/c++/c/java,华为技术有限公司,苏州,15k-28k,3-5年,本科
Python研发工程师(JD52V),多点生活（中国）数字科技有限公司,成都,15k-25k,3-5年,本科
python高级开发工程师,深圳铸泰科技有限公司,深圳,15k-30k,3-5年,本科
python后端开发工程师,广州探迹科技有限公司,广州,20k-35k,3-5年,本科
python后端,上海贞历网络科技有限公司,上海,15k-30k,1-3年,本科
python后端开发工程师,深圳壹木航科技有限公司,深圳,12k-22k,1-3年,本科
宝马对话AI-后端工程师-Python(A205501),上海茗日智能科技有限公司,北京,11k-20k,1-3年,本科
Python开发工程师 (MJ000537),上海域起网络科技有限公司,上海,20k-30k,3-5年,本科
python开发工程师（上海）,北京中北信科技发展有限公司,上海,10k-18k,1-3年,本科
Python技术管培生,中山华定科技有限公司,中山,5k-10k,不限,不限
python高级工程师-信息安全,卫盈联信息技术（深圳）有限公司,深圳,20k-35k,3-5年,本科
python爬虫工程师,深圳金蝶账无忧网络科技有限公司,深圳,10k-15k,1-3年,本科
Python 实习生,广州爱范儿科技股份有限公司,广州,3k-4k,不限,本科
高级python开发工程师,上海微创软件股份有限公司,北京,20k-25k,3-5年,本科
python开发工程师（包早中餐）,深圳市睿服科技有限公司,深圳,15k-20k,3-5年,大专
Python图形开发工程师,上海微创软件股份有限公司,苏州,15k-20k,3-5年,本科
Python中级（SA0302）,长沙蜜獾信息科技有限公司,长沙,12k-15k,3-5年,本科
python开发工程师（证券双休包两餐）,深圳市睿服科技有限公司,深圳,14k-18k,3-5年,大专
Python 后端工程师,爱客科技（深圳）有限公司,深圳,20k-35k,3-5年,本科
中级python开发工程师,北京中北信科技发展有限公司,北京,15k-18k,3-5年,大专
python后端开发工程师,成都俊云科技有限公司,成都,17k-22k,5-10年,本科
python高级后端开发工程师,维我软件（上海）有限公司,北京,30k-40k,5-10年,本科
高级python开发工程师,证通股份有限公司,上海,20k-25k,3-5年,硕士
python开发工程师 (MJ005637),广州希音供应链管理有限公司,深圳,20k-40k,3-5年,本科
后端开发工程师 (Python | 应用开发 | SH)(J979P),上海茗日智能科技有限公司,上海,12k-24k,1-3年,本科
宝马对话AI | 后端开发Python工程师(J779P),上海茗日智能科技有限公司,北京,12k-24k,1-3年,本科
运维开发工程师(python),鲸灵云（杭州）智能有限公司,杭州,17k-28k,5-10年,本科
python后端开发工程师,加绩（上海）科技服务有限公司,上海,15k-20k,3-5年,本科
python后端开发工程师,成都卡社诺网络技术有限责任公司,成都,25k-35k,5-10年,本科
python爬虫工程师,深圳市乐思软件技术有限公司,深圳,9k-12k,1-3年,本科
python数据分析师,北京志翔科技股份有限公司,北京,15k-20k,不限,本科
测试工程师（python）,西安人瑞网络科技有限公司,南京,10k-20k,1-3年,本科
python后端开发工程师,加绩（上海）科技服务有限公司,上海,15k-20k,3-5年,本科
Python量化工程师,北京同道大象科技有限公司,北京,20k-30k,3-5年,本科
软件开发python/c++/c/java,华为技术有限公司,苏州,15k-28k,3-5年,本科
技术经理/总监（Java/PHP/python ）,广东保椿养老产业集团股份有限公司,广州,20k-40k,5-10年,本科
ERP实施顾问(Python开发),成都普赛睿生物医药科技有限公司,成都,8k-15k,1-3年,本科
高级python开发工程师,普华永道商务服务（成都）有限公司,成都,12k-14k,3-5年,本科
运维开发工程师（python/go）,富途网络科技（深圳）有限公司,深圳,15k-30k,3-5年,本科
Python/Odoo高级开发工程师G00850,深圳市雨禾伟业实业有限公司,深圳,20k-35k,5-10年,本科
Python后端开发,上海观测未来信息技术有限公司,上海,13k-20k,1-3年,大专
python中高级后端开发工程师,维我软件（上海）有限公司,北京,25k-40k,5-10年,本科
Python开发工程师（FUNC 平台）,上海观测未来信息技术有限公司,上海,13k-18k,不限,本科
Python 研发工程师,抖音视界（北京）有限公司,北京,30k-60k,不限,本科
高级云平台开发工程师（go python）,北京趣拿软件科技有限公司,北京,30k-50k,5-10年,本科
中高级python开发工程师,广州优路网络科技有限公司,广州,13k-18k,3-5年,本科
python开发工程师（百度）,上海微创软件股份有限公司,北京,14k-16k,1-3年,本科
高级python开发工程师,圆通速递有限公司,杭州,22k-28k,5-10年,本科
c++/java/python/go开发工程师,北京外企德科人力资源服务上海有限公司,深圳,20k-40k,不限,本科
武汉一JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
python后端开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,20k-40k,不限,本科
Python/SQL/Tableau Data Analyst,万宝盛华企业管理咨询（上海）有限公司,上海,20k-30k,3-5年,本科
java/python/web前端开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,20k-40k,不限,本科
python后端开发工程师,张家港市汇智人力资源有限公司,北京,30k-60k,不限,本科
python开发,奇安信科技集团股份有限公司,上海,15k-22k,1-3年,本科
python工程师,深圳市悦保科技有限公司,深圳,12k-15k,3-5年,本科
python开发,河南小角牛食品有限公司,安阳,10k-15k,在校/应届,本科
python开发,上海张江发展战略研究院,上海,6k-12k,1年以下,本科
python,英赛得人才顾问（武汉）有限公司,杭州,10k-15k,1-3年,本科
python开发,深圳市同和信息技术有限公司,上海,12k-20k,3-5年,本科
python开发工程师,华为技术有限公司,西安,15k-25k,不限,本科
python开发工程师,北京汉迪移动互联网科技股份有限公司,北京,15k-25k,不限,本科
c/c++，java，python、测试，js,北京外企德科人力资源服务上海有限公司,上海,18k-35k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
软件开发工程师（python）,科锐尔人力资源服务（苏州）有限公司,西安,18k-36k,不限,本科
java/Python/web开发工程师,科锐尔人力资源服务（苏州）有限公司,西安,15k-30k,不限,本科
python开发工程师,上海泛微网络科技股份有限公司,上海,11k-15k,1-3年,本科
python开发工程师,北京码博科技有限公司,北京,13k-18k,1-3年,本科
python开发工程师,成都兴能金通科技有限公司,成都,15k-25k,3-5年,大专
python开发工程师,北京码博科技有限公司,北京,10k-15k,1-3年,本科
Python后端研发工程师（财富管理方向）,富途网络科技（深圳）有限公司,深圳,20k-40k,3-5年,本科
python开发,北京卓伯咨询有限公司,宁波,13k-23k,不限,本科
Python开发工程师,华为技术有限公司,西安,15k-25k,不限,本科
python工程师,北京迈迪培尔信息技术有限公司,北京,6k-12k,不限,本科
python工程师,宁波思艾特软件有限公司,成都,9k-15k,1-3年,本科
python开发工程师,大连华信计算机技术股份有限公司,西安,12k-19k,3-5年,本科
python开发工程师,京北方信息技术股份有限公司,上海,16k-22k,不限,本科
软件开发工程师 (java c++ Python）,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
Java/前端/Python/C/C++/Go/测试等开发岗,北京外企德科人力资源服务上海有限公司,上海,16k-30k,不限,本科
java/python/web前端开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,20k-40k,不限,本科
python开发工程师,京北方信息技术股份有限公司,上海,16k-22k,不限,本科
python开发工程师,陕西科锐尔人力资源服务有限公司,北京,15k-23k,5-10年,本科
python工程师,北京联龙博通电子商务技术有限公司,北京,15k-17k,3-5年,本科
python开发工程师,深圳市嘉信福实业集团有限公司,深圳,20k-40k,5-10年,本科
Python工程师,北京新火科技有限公司,北京,8k-12k,不限,本科
Python开发,成都优声科技有限公司,北京,15k-25k,3-5年,本科
python,武汉飞脉科技有限责任公司,武汉,8k-15k,1-3年,大专
python开发工程师,威廉欧奈尔信息科技（上海）有限公司,上海,12k-24k,1-3年,本科
python开发工程师,北京维太格科技有限公司,北京,15k-20k,不限,本科
python工程师,深圳和润达科技有限公司,深圳,25k-50k,3-5年,本科
Python开发工程师,杭州半云科技有限公司,福州,10k-16k,1-3年,本科
python开发工程师,贵阳高登世德金融科技有限公司,贵阳,10k-20k,3-5年,本科
软件开发（Java、C++、Python）,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
java/python/c/c++/前端开发/软件测试,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
python开发工程师,中软国际科技服务有限公司,西安,9k-15k,1-3年,本科
python开发工程师,中软国际科技服务有限公司,西安,15k-30k,不限,本科
python工程师,北京蓝色脉动科技有限责任公司,北京,8k-11k,在校/应届,本科
python开发工程师,信必优（深圳）信息技术有限公司,广州,10k-15k,1-3年,本科
python开发工程师,源杉数据科技（上海）有限公司,上海,15k-25k,3-5年,本科
python开发,北京安技汇科技有限公司,北京,15k-20k,3-5年,不限
python开发工程师,万博时代（深圳）科技有限公司,深圳,15k-25k,3-5年,大专
python开发工程师,广州市信创电子科技有限公司,北京,50k-65k,5-10年,本科
python开发工程师,广州天锐医健信息科技有限公司,广州,9k-12k,1-3年,大专
python开发工程师,济南晓邻网络科技有限公司,济南,8k-12k,1-3年,本科
python开发工程师,北京神州云合数据科技发展有限公司,南京,10k-16k,5-10年,本科
python开发工程师,宁波平方和投资管理合伙企业（有限合伙）,北京,15k-30k,不限,本科
python开发工程师,山东慧诚数字科技集团有限公司,济南,13k-26k,3-5年,本科
Java/C/C++/Python/测试/运维,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
python开发工程师,中软国际科技服务有限公司,深圳,10k-18k,1-3年,本科
python开发工程师,中软国际科技服务有限公司,武汉,10k-18k,1-3年,本科
python开发工程师,深圳一科互联有限公司,深圳,10k-18k,3-5年,大专
python开发,陌壳（上海）网络科技有限公司,昆明,10k-18k,3-5年,本科
python开发工程师,京北方信息技术股份有限公司,广州,15k-18k,3-5年,本科
python,西安英荟烁企业管理咨询所,北京,15k-22k,不限,不限
python,西安英荟烁企业管理咨询所,广州,15k-22k,不限,大专
Python开发,北京时空立方数字科技有限公司,广州,10k-15k,1-3年,本科
Python开发工程师,华为技术有限公司,深圳,10k-15k,不限,本科
python开发工程师,北京微财科技有限公司,北京,25k-40k,1年以下,硕士
python开发工程师,观源（上海）科技有限公司,上海,12k-24k,1-3年,本科
python开发工程师,深圳市同和信息技术有限公司,深圳,14k-19k,3-5年,大专
python开发工程师,上海泛微网络科技股份有限公司,上海,18k-25k,1-3年,本科
武汉一JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
python开发工程师,上海泛微网络科技股份有限公司,上海,18k-25k,1-3年,本科
python开发工程师,在线途游（北京）科技有限公司,北京,18k-36k,不限,本科
python开发工程师,在线途游（北京）科技有限公司,北京,20k-25k,3-5年,本科
python开发工程师,华为技术有限公司,深圳,15k-30k,3-5年,本科
python工程师,北京万界数据科技有限责任公司,武汉,10k-20k,1-3年,本科
python开发工程师,深圳市长亮科技股份有限公司,深圳,13k-20k,3-5年,本科
Python开发工程师,南方报业传媒集团,广州,20k-40k,不限,本科
python开发工程师,北京华为数字技术有限公司,西安,15k-30k,不限,本科
Python,北京瑞联网络科技有限公司,成都,10k-15k,1-3年,大专
python开发工程师,北京游道易网络文化有限公司,上海,15k-25k,1-3年,本科
python开发工程师,四川凯普顿信息技术股份有限公司,成都,18k-25k,3-5年,本科
python开发工程师,北京瑞联网络科技有限公司,成都,10k-15k,不限,大专
python工程师,宁波思艾特软件有限公司,宁波,9k-15k,1-3年,本科
C/C++/JAVA/GO/JS/Python软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,18k-35k,不限,本科
Java/前端/Python/C/C++/Go/测试等开发岗,北京外企德科人力资源服务上海有限公司,上海,16k-30k,不限,本科
python开发工程师,软通动力技术服务有限公司北京分公司,南京,10k-17k,1-3年,本科
python工程师,成都安科创信科技有限公司,成都,9k-12k,1-3年,大专
python开发工程师,上海指南车数据科技有限公司,上海,15k-30k,1-3年,本科
python,成都中云天下科技有限公司,成都,12k-18k,1-3年,本科
python开发工程师,中软国际科技服务有限公司,武汉,10k-15k,1-3年,本科
python,龙岩市宏景信息科技有限公司,龙岩,7k-9k,3-5年,不限
python开发工程师,上海犀语科技有限公司,上海,8k-16k,1-3年,本科
python开发工程师,湖北若火科技有限公司,北京,15k-20k,3-5年,本科
python开发工程师,北京优解未来科技有限公司,北京,20k-40k,5-10年,本科
python开发,深圳新致软件有限公司,深圳,15k-20k,3-5年,本科
Python开发,四川众航信息科技有限公司,南京,10k-20k,1-3年,大专
python开发工程师,广州赛意信息科技股份有限公司,广州,9k-14k,1-3年,大专
python开发工程师,泰坦科技（深圳）有限公司,深圳,15k-20k,3-5年,本科
"各语言开发工程师（Java，c,c++,python,oc,go等等）",北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
python开发工程师,重庆康洲大数据（集团）有限公司,重庆,5k-8k,1-3年,大专
python开发工程师,深圳市言羽科技有限公司,上海,15k-30k,在校/应届,本科
python开发工程师,深圳佰特创新科技有限公司,深圳,12k-20k,3-5年,本科
python开发工程师,北京优解未来科技有限公司,北京,20k-40k,3-5年,本科
Python开发工程师,山东汇智电力科技有限公司,济南,8k-15k,1-3年,本科
python开发工程师,杭州代码狗科技有限公司,杭州,5k-10k,不限,本科
Python开发,深圳华秋电子有限公司,上海,15k-25k,3-5年,本科
Python开发工程师,大连允执科技有限公司,大连,8k-12k,3-5年,不限
python开发工程师,杭州五色云网络技术有限公司,杭州,12k-24k,不限,本科
python开发工程师,北京人民在线网络有限公司,北京,15k-20k,1-3年,本科
python开发工程师,华为技术有限公司,西安,15k-30k,不限,本科
python开发工程师,深圳市血之缘医疗科技有限公司,深圳,18k-25k,3-5年,本科
python开发工程师,苏州智泰腾迪信息科技有限公司,苏州,13k-18k,1-3年,大专
Java/python/c++/c/js/开发/测试（全国）,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
java/c/c++/python/go/js/web/测试/软件开发/双休,北京外企德科人力资源服务上海有限公司,成都,16k-30k,不限,本科
python开发工程师,苏州智泰腾迪信息科技有限公司,苏州,13k-18k,1-3年,大专
python工程师,广州一张满减券科技有限公司,深圳,7k-14k,不限,不限
python开发工程师,友邦资讯科技（广州）有限公司,成都,9k-14k,1-3年,本科
python开发工程师,北京忐忐科技有限公司,北京,18k-25k,5-10年,本科
python开发,武汉海岸跃动网络科技有限公司,武汉,8k-15k,3-5年,本科
python开发工程师,西安华为技术有限公司,西安,15k-30k,不限,本科
python开发工程师,深圳米倪网络科技信息有限公司,深圳,15k-30k,3-5年,本科
python开发工程师,中国科学院自动化研究所,北京,20k-25k,1-3年,硕士
python开发工程师,上海量讯物联电子商务有限公司,上海,11k-20k,1-3年,本科
python开发工程师,广州发业信息科技有限公司,广州,15k-20k,3-5年,本科
python开发工程师,百姓网股份有限公司,上海,20k-25k,1-3年,本科
python开发工程师,广州云纳信息科技有限公司,广州,5k-6k,1-3年,大专
python开发工程师,河南臻宇科技有限公司,郑州,10k-13k,3-5年,本科
Java/python/web/c/c++/js/go/测试/安卓,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
Java/C/Python工程师+14-16薪,北京外企德科人力资源服务上海有限公司,成都,12k-24k,不限,本科
python开发工程师,广州南田互联网科技有限公司,广州,10k-15k,1-3年,本科
python开发工程师,北京威力强化科技有限公司,北京,18k-25k,3-5年,本科
python开发工程师,杭州昇星智能科技有限公司,杭州,12k-18k,1-3年,本科
python开发工程师,普华汇金（山东）供应链有限公司,潍坊,8k-15k,1-3年,本科
python开发工程师,广东堡塔安全技术有限公司,东莞,7k-12k,3-5年,不限
python开发工程师,贵州数安智能科技有限公司,贵阳,7k-10k,1-3年,本科
python开发工程师,郑州数能软件科技有限公司,郑州,2k-3k,10年以上,本科
python开发工程师,郑州数能软件科技有限公司,郑州,2k-3k,10年以上,博士
python开发工程师,众趣（北京）科技有限公司,北京,18k-30k,3-5年,本科
python开发工程师,广州掌昆网络科技有限公司,广州,13k-17k,3-5年,本科
python开发工程师,北京安全共识科技有限公司,北京,7k-10k,在校/应届,本科
python开发工程师,北京恒智数科科技有限公司,北京,10k-15k,3-5年,本科
python开发工程师,北京博奥瑞科技有限公司,北京,10k-12k,1-3年,本科
java/c/c++/python/go/js/web/测试/软件开发/双休,北京外企德科人力资源服务上海有限公司,成都,16k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
python开发工程师,北京博奥瑞科技有限公司,北京,10k-12k,1-3年,本科
Python开发工程师,上海直觉信息技术有限公司,上海,8k-15k,不限,本科
python开发工程师,宝牧科技（天津）有限公司,武汉,9k-10k,1-3年,本科
python开发工程师,苏州赛纳吉网络咨询服务有限公司,苏州,15k-30k,3-5年,本科
python开发工程师,北京云庐科技有限公司,北京,20k-30k,3-5年,本科
python开发工程师,北京深言科技有限责任公司,北京,25k-50k,3-5年,本科
Python开发工程师,睿云联（厦门）网络通讯技术有限公司,厦门,3k-4k,在校/应届,本科
python开发,景生星月信息科技（北京）有限公司,北京,4k-6k,在校/应届,本科
python开发工程师,深圳市惠群商业数据技术有限公司,深圳,7k-12k,在校/应届,本科
python开发工程师,成都思而科软件有限公司,成都,3k-6k,在校/应届,本科
python开发工程师,奇点浩翰数据技术（北京）有限公司,北京,3k-6k,在校/应届,本科
python开发工程师,奇点浩翰数据技术（北京）有限公司,上海,3k-6k,在校/应届,本科
python开发工程师,北京华美汉盛信息技术有限公司,北京,7k-8k,在校/应届,本科
Java/C/C++/Python/测试/运维,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
python开发工程师,北京华美汉盛信息技术有限公司,北京,7k-8k,在校/应届,本科
python开发工程师,杭州问点事信息技术有限公司,杭州,4k-8k,在校/应届,本科
