岗位,企业,城市,薪资,经验,学历
java开发工程师,盈宝网络科技（广州）有限公司,深圳,18k-35k,3-5年,本科
java开发工程师,深圳北鲲云计算有限公司,深圳,15k-25k,3-5年,本科
java开发工程师,深圳市汇合发展有限公司,深圳,12k-14k,3-5年,本科
java开发工程师,上海马帮科技有限公司,上海,15k-20k,3-5年,本科
JAVA工程师,深圳市脉山龙信息技术股份有限公司,上海,15k-20k,3-5年,本科
java工程师,深圳市睿服科技有限公司,青岛,12k-15k,3-5年,大专
高级java开发工程师,上海引旅信息技术服务有限公司,上海,25k-40k,3-5年,本科
高级JAVA开发工程师,杭州拓麦科技有限公司,杭州,12k-16k,不限,本科
高级java开发工程师,鹿客科技（北京）股份有限公司,北京,25k-35k,5-10年,本科
java开发工程师,杭州数正云悦科技合伙企业（有限合伙）,杭州,15k-18k,3-5年,本科
java开发工程师,广州谷沃信息科技有限公司,南宁,5k-7k,1-3年,本科
高级java开发工程师,证通股份有限公司,合肥,13k-22k,3-5年,本科
java开发工程师,惠尔丰信息系统有限公司,福州,15k-20k,5-10年,本科
高级java开发工程师,北京中招互连应用科技有限公司,北京,20k-33k,5-10年,本科
高级java开发工程师,中科软科技股份有限公司,北京,15k-21k,3-5年,本科
java高级开发工程师,上海珞瑾数据信息有限公司,上海,20k-25k,3-5年,本科
Java开发工程师,深圳达实旗云健康科技有限公司,成都,12k-17k,3-5年,本科
java开发工程师,广州新晨信息系统工程有限公司,广州,12k-16k,3-5年,本科
java开发工程师,泰豪软件股份有限公司,西安,8k-16k,不限,本科
高级java开发工程师,上海睿沃信息科技有限公司,上海,20k-30k,5-10年,本科
java高级开发工程师,上海瑛麒动漫科技有限公司,上海,20k-35k,5-10年,本科
java工程师,泰豪软件股份有限公司,北京,10k-20k,3-5年,本科
java开发工程师,泰豪软件股份有限公司,长春,8k-15k,3-5年,本科
java开发工程师,湖北天天数链技术有限公司,宁波,8k-15k,1-3年,本科
Java开发工程师,金蝶软件（中国）有限公司,深圳,16k-30k,3-5年,本科
java高级开发工程师,成都淞幸科技有限责任公司,成都,12k-22k,5-10年,本科
java高级开发工程师,成都淞幸科技有限责任公司,北京,25k-35k,5-10年,本科
高级java开发工程师,北京搜狐新媒体信息技术有限公司,北京,20k-40k,3-5年,本科
java开发工程师,深圳市赢胜数据科技有限公司,佛山,12k-19k,3-5年,本科
java开发工程师,四川智胜慧安信息技术有限公司,乌鲁木齐,10k-15k,3-5年,本科
高级java开发工程师,北银消费金融有限公司,北京,25k-50k,10年以上,本科
高级java开发工程师,贝壳找房（北京）科技有限公司,北京,20k-35k,1-3年,本科
Java开发工程师,北京普睿德利科技有限公司,贵阳,10k-20k,1-3年,本科
java开发工程师,西安人瑞网络科技有限公司,成都,20k-30k,1-3年,本科
JAVA工程师,杭州邦睿科技有限公司,杭州,11k-20k,3-5年,本科
JAVA工程师,中科软科技股份有限公司,北京,13k-18k,3-5年,本科
java开发工程师,北京容联易通信息技术有限公司,佛山,15k-25k,3-5年,本科
java开发工程师,深圳前海百递网络有限公司,深圳,11k-20k,3-5年,本科
高级java开发工程师,广东致创数字科技有限公司,佛山,15k-30k,3-5年,本科
高级java开发工程师,贝壳找房（北京）科技有限公司,北京,20k-35k,1-3年,本科
java开发工程师,北京摩尔斯科技有限公司,成都,12k-18k,3-5年,本科
Java开发工程师,北京普睿德利科技有限公司,贵阳,10k-20k,1-3年,本科
JAVA工程师,杭州邦睿科技有限公司,杭州,11k-20k,3-5年,本科
高级java开发工程师,泰康在线财产保险股份有限公司,北京,15k-30k,3-5年,本科
java开发工程师,雄安云起技术有限公司北京分公司,北京,13k-15k,3-5年,本科
高级java开发工程师,太平洋房地产经纪有限公司,上海,20k-25k,3-5年,本科
高级java开发工程师,希望知舟技术（深圳）有限公司,深圳,11k-20k,3-5年,本科
java开发工程师,上海铭垚信息科技有限公司,上海,10k-15k,1-3年,本科
java开发工程师,中电运行（北京）信息技术有限公司,南宁,6k-10k,3-5年,本科
高级java开发工程师,上海喜鹊到网络技术有限公司,上海,17k-30k,5-10年,本科
java开发工程师,北京京环智慧环保科技有限公司武汉分公司,武汉,12k-15k,1-3年,本科
java工程师,上海国泰君安证券资产管理有限公司,上海,20k-40k,3-5年,硕士
java开发工程师,上海申元工程投资咨询有限公司,上海,15k-30k,5-10年,本科
java高级开发工程师,成都卡社诺网络技术有限责任公司,重庆,20k-30k,3-5年,本科
java开发工程师,广东睿盟计算机科技有限公司,广州,7k-11k,1-3年,本科
java开发工程师,上海劢联企业管理咨询有限公司,上海,18k-25k,5-10年,本科
java工程师,京北方信息技术股份有限公司,北京,15k-22k,5-10年,本科
java开发工程师,浩云科技股份有限公司,广州,15k-25k,3-5年,本科
java开发工程师,深圳市鹏鼎创盈金融信息服务股份有限公司,深圳,15k-25k,3-5年,本科
java开发工程师,杭州邦睿科技有限公司,杭州,11k-18k,1-3年,本科
java开发工程师,亚信科技（中国）有限公司,广州,20k-25k,3-5年,本科
java开发工程师,杭州邦睿科技有限公司,杭州,11k-20k,1-3年,本科
JAVA开发工程师,上海创景信息科技有限公司,上海,12k-21k,1-3年,本科
Java开发工程师,前锦网络信息技术（上海）有限公司,上海,15k-30k,3-5年,本科
java开发工程师,京北方信息技术股份有限公司,深圳,13k-20k,3-5年,本科
JAVA开发工程师,深圳市客路网络科技有限公司,上海,12k-23k,3-5年,本科
JAVA开发工程师,深圳市客路网络科技有限公司,上海,12k-23k,3-5年,本科
java开发工程师,北京星尘纪元智能科技有限公司,北京,20k-40k,3-5年,本科
java开发工程师,深圳市汇合发展有限公司,深圳,14k-28k,3-5年,本科
java开发工程师,亚信科技（中国）有限公司,天津,7k-10k,1-3年,大专
java工程师,深圳市睿服科技有限公司,上海,13k-14k,3-5年,大专
高级java开发工程师,广州微易软件有限公司,广州,18k-30k,5-10年,本科
java高级开发工程师,深圳市万睿智能科技有限公司,深圳,20k-25k,5-10年,本科
java开发工程师,成都管家婆云科技有限公司,成都,13k-25k,5-10年,大专
java开发工程师,深圳市金证科技股份有限公司,深圳,11k-22k,1-3年,本科
高级java开发工程师,融捷教育科技有限公司,北京,20k-30k,3-5年,本科
java开发工程师,中科软科技股份有限公司,北京,8k-12k,1-3年,本科
Java开发工程师,北京普睿德利科技有限公司,广州,10k-20k,3-5年,本科
java开发工程师,北京工商管理专修学院,北京,13k-20k,3-5年,本科
高级java开发工程师,上海维信荟智金融科技有限公司,上海,15k-25k,3-5年,本科
Java开发工程师,广州趣米网络科技有限公司,广州,8k-12k,1-3年,本科
java高级开发工程师,京北方信息技术股份有限公司,西安,14k-25k,5-10年,本科
java开发工程师,京北方信息技术股份有限公司,上海,15k-22k,3-5年,本科
java开发工程师,北京睿智思科科技发展有限公司,北京,7k-13k,不限,本科
java开发工程师,德科信息有限公司,深圳,15k-29k,3-5年,本科
java开发工程师,成都魔豆互动科技有限公司,成都,8k-15k,3-5年,大专
java开发工程师,广东百德朗科技有限公司,广州,10k-13k,3-5年,本科
java开发工程师,中教畅享（北京）科技有限公司,北京,10k-15k,不限,本科
高级java开发工程师,建信金融科技有限责任公司,深圳,30k-60k,5-10年,本科
高级java开发工程师,前锦网络信息技术（上海）有限公司,上海,20k-35k,5-10年,本科
java高级开发工程师,北京君禾世纪科技有限公司,北京,20k-35k,5-10年,本科
高级java开发工程师,亚信科技（中国）有限公司,北京,15k-25k,3-5年,本科
java开发工程师,中科软科技股份有限公司,上海,8k-13k,3-5年,本科
高级java开发工程师,深圳市领星网络科技有限公司,深圳,30k-40k,3-5年,本科
Java开发工程师,深圳市客路网络科技有限公司,深圳,15k-25k,1-3年,本科
java开发工程师,杭州乌鸫科技有限公司,杭州,15k-30k,3-5年,本科
java高级开发工程师,上扬软件（上海）有限公司,武汉,12k-20k,3-5年,本科
java高级开发工程师,上扬软件（上海）有限公司,成都,14k-25k,5-10年,本科
java开发工程师,京北方信息技术股份有限公司,广州,11k-20k,1-3年,本科
java高级开发工程师,北京君禾世纪科技有限公司,北京,20k-35k,5-10年,本科
高级java开发工程师,金蝶软件（中国）有限公司,深圳,25k-35k,5-10年,本科
java开发工程师,深圳市小赢科技有限责任公司,深圳,12k-23k,1-3年,本科
java高级开发工程师,北京中电博亚科技有限公司,北京,25k-35k,5-10年,本科
Java开发工程师,深圳市客路网络科技有限公司,深圳,15k-25k,1-3年,本科
java开发工程师,平安付智能技术有限公司,上海,15k-25k,3-5年,本科
java开发工程师,深圳市掌上智珠网络技术有限公司,深圳,12k-15k,3-5年,本科
高级java开发工程师,广州宸祺出行科技有限公司,广州,20k-40k,5-10年,本科
JAVA开发工程师,深圳市博奥特科技有限公司,深圳,12k-16k,3-5年,本科
Java高级开发工程师,算话智能科技有限公司,上海,12k-22k,1-3年,本科
java高级开发工程师,深圳市移卡科技有限公司,深圳,20k-40k,5-10年,本科
高级java开发工程师,京北方信息技术股份有限公司,深圳,18k-28k,5-10年,本科
java开发工程师,京北方信息技术股份有限公司,西安,8k-15k,3-5年,本科
java高级开发工程师,中教畅享（北京）科技有限公司,北京,30k-50k,3-5年,本科
高级java开发工程师,杭州米友圈科技有限公司,杭州,18k-25k,5-10年,本科
Java开发工程师,北京拉勾网络技术有限公司,北京,20k-40k,5-10年,本科
java开发工程师,上海咪啰信息科技有限公司,上海,8k-16k,不限,本科
java高级开发工程师,广州羊城通有限公司,广州,10k-20k,3-5年,本科
Java,深圳市汇合发展有限公司,杭州,12k-20k,3-5年,本科
java开发工程师,华为技术有限公司,西安,10k-20k,1-3年,本科
java高级开发工程师,中华联合财产保险股份有限公司,杭州,20k-35k,5-10年,本科
高级java开发工程师,建信金融科技有限责任公司,广州,20k-40k,5-10年,本科
java高级开发工程师,格尔软件股份有限公司,上海,20k-30k,5-10年,本科
高级java开发工程师,建信金融科技有限责任公司,深圳,25k-50k,5-10年,本科
高级java开发工程师,广东瀚阳轨道信息科技有限公司,广州,14k-25k,5-10年,本科
Java开发工程师,北京新微科技有限公司,廊坊,8k-15k,3-5年,本科
java工程师,上海荆桂智能科技有限公司,上海,10k-20k,1-3年,本科
JAVA开发工程师,深圳市博奥特科技有限公司,深圳,12k-16k,3-5年,本科
java开发工程师,北京地平线云数科技有限公司,北京,15k-25k,3-5年,本科
高级java开发工程师,上海铭垚信息科技有限公司,上海,20k-30k,5-10年,本科
java高级开发工程师,深圳市移卡科技有限公司,深圳,20k-40k,5-10年,本科
java开发工程师,深圳市玄关健康医疗互联网有限公司,深圳,12k-20k,3-5年,本科
Java开发工程师,蜂助手股份有限公司,广州,15k-22k,3-5年,本科
java高级开发工程师,金蝶软件（中国）有限公司,深圳,25k-40k,5-10年,本科
java开发工程师,浙江大禹信息技术有限公司,杭州,10k-15k,1-3年,本科
java开发工程师,中国互联网络信息中心,北京,10k-15k,不限,硕士
java开发工程师,北京铸云网络科技有限公司,北京,15k-25k,3-5年,本科
java开发工程师,深圳市汇合发展有限公司,成都,11k-20k,3-5年,本科
Java开发工程师,深圳市博奥特科技有限公司,深圳,14k-20k,3-5年,大专
java开发工程师,广州羊城通有限公司,广州,9k-12k,1-3年,本科
高级java开发工程师,北京广通优云科技股份有限公司杭州分公司,北京,20k-30k,5-10年,本科
java开发工程师,上海速石信息科技有限公司,上海,15k-30k,3-5年,本科
java高级开发工程师,上海文沥信息技术有限公司,上海,15k-25k,5-10年,本科
java开发工程师,上海文沥信息技术有限公司,合肥,10k-20k,3-5年,本科
java高级开发工程师,福寿康（上海）医疗养老服务有限公司,上海,15k-25k,3-5年,本科
java高级开发工程师,上海事成软件股份有限公司,上海,15k-18k,1-3年,本科
高级java开发工程师,上海易路软件有限公司,上海,30k-50k,5-10年,本科
Java开发工程师,北京拉勾网络技术有限公司,北京,20k-40k,5-10年,本科
java开发工程师,上海咪啰信息科技有限公司,上海,8k-16k,不限,本科
高级java开发工程师,四川兴政信息技术有限公司,成都,12k-18k,5-10年,本科
java高级开发工程师,北京鲸灵数据科技有限公司,北京,25k-40k,5-10年,本科
java高级开发工程师,格尔软件股份有限公司,南京,20k-25k,5-10年,本科
java高级开发工程师,格尔软件股份有限公司,上海,20k-30k,5-10年,本科
Java高级开发工程师,上海瑛麒动漫科技有限公司,厦门,15k-25k,5-10年,本科
java开发工程师,杭州米友圈科技有限公司,杭州,15k-25k,5-10年,大专
高级java开发工程师,北京达佳互联信息技术有限公司,北京,35k-55k,3-5年,本科
java工程师,上海荆桂智能科技有限公司,上海,10k-20k,1-3年,本科
高级java开发工程师,北京联龙博通电子商务技术有限公司,上海,18k-24k,5-10年,大专
java开发工程师,深圳市同和信息技术有限公司,深圳,16k-19k,3-5年,本科
java开发工程师,安徽屹通信息科技发展有限公司,济南,9k-14k,3-5年,本科
java开发工程师,深圳市同和信息技术有限公司,深圳,13k-15k,3-5年,本科
java开发工程师,成都思而科软件有限公司,成都,12k-20k,3-5年,本科
java开发工程师,深圳市给力能源科技有限公司,深圳,11k-18k,3-5年,本科
java开发工程师,深圳市领星网络科技有限公司,深圳,20k-30k,1-3年,本科
高级java开发工程师,泰康在线财产保险股份有限公司,武汉,10k-20k,5-10年,本科
高级Java开发工程师,杭州安恒信息技术股份有限公司,北京,20k-30k,5-10年,本科
java开发工程师,深圳市汇合发展有限公司,深圳,16k-26k,3-5年,本科
高级java开发工程师,美的集团股份有限公司,佛山,20k-40k,5-10年,本科
java开发工程师,深圳市汇合发展有限公司,深圳,15k-25k,3-5年,本科
Java开发工程师,杭州安恒信息技术股份有限公司,杭州,15k-20k,3-5年,本科
java开发工程师,深圳楚星软件有限公司,深圳,15k-21k,5-10年,大专
java高级开发工程师,深圳楚星软件有限公司,深圳,13k-20k,5-10年,大专
高级java开发工程师,建信金融科技有限责任公司,广州,20k-40k,5-10年,本科
java高级开发工程师,格尔软件股份有限公司,上海,20k-30k,5-10年,本科
Java高级开发工程师,上海瑛麒动漫科技有限公司,厦门,15k-25k,5-10年,本科
高级java开发工程师,北京达佳互联信息技术有限公司,北京,35k-55k,3-5年,本科
java工程师,上海荆桂智能科技有限公司,上海,10k-20k,1-3年,本科
Java开发工程师,上海易路软件有限公司,上海,20k-30k,3-5年,本科
高级Java开发工程师,国泰财产保险有限责任公司,上海,25k-35k,5-10年,本科
JAVA高级开发工程师,杭州绿云科技有限公司,杭州,15k-25k,3-5年,本科
java开发工程师,奕兆科技（深圳）有限公司,深圳,18k-23k,5-10年,本科
java开发工程师,上海收钱吧互联网科技股份有限公司,苏州,18k-35k,3-5年,本科
JAVA,杭州数途信息科技有限公司,杭州,10k-20k,1-3年,本科
Java开发工程师,特赞（上海）信息科技有限公司,上海,18k-25k,1-3年,本科
高级java开发工程师,京北方信息技术股份有限公司,北京,17k-23k,5-10年,本科
java开发工程师,深圳市友点科技有限公司,宁波,13k-16k,3-5年,本科
java开发工程师,深圳市友点科技有限公司,宁波,13k-16k,3-5年,本科
java开发工程师,深圳太极数智技术有限公司,深圳,14k-20k,3-5年,本科
高级java开发工程师,柏美迪康环境科技（上海）股份有限公司,上海,25k-35k,3-5年,本科
java开发工程师,加绩（上海）科技服务有限公司,上海,14k-15k,3-5年,本科
java开发工程师,昆仑太科（北京）技术股份有限公司,成都,15k-18k,5-10年,本科
java开发工程师,北京卓越晨星科技有限公司,北京,20k-30k,5-10年,本科
java开发工程师,北京联龙博通电子商务技术有限公司,上海,17k-24k,5-10年,本科
java开发工程师,深圳市同和信息技术有限公司,深圳,13k-15k,3-5年,本科
java开发工程师,北京东方华数信息技术有限公司,北京,10k-15k,3-5年,本科
java开发工程师,深圳市汇合发展有限公司,深圳,15k-25k,3-5年,本科
高级java开发工程师,广东瀚阳轨道信息科技有限公司,广州,15k-25k,5-10年,本科
java开发工程师,深圳楚星软件有限公司,深圳,15k-21k,5-10年,大专
高级java开发工程师,上海景栗信息科技有限公司,北京,18k-35k,3-5年,本科
java开发工程师,上海浩宜信息科技有限公司,上海,12k-18k,3-5年,本科
java开发工程师,北京神舟航天软件技术股份有限公司,济南,11k-15k,3-5年,本科
java开发工程师,西安人瑞网络科技有限公司,北京,15k-30k,1-3年,本科
java开发工程师,西安人瑞网络科技有限公司,深圳,30k-45k,5-10年,本科
java开发工程师,深圳太极数智技术有限公司,深圳,15k-22k,3-5年,本科
java开发工程师,北方云景科技（北京）有限公司,杭州,14k-25k,5-10年,本科
java开发工程师,友邦资讯科技（广州）有限公司,成都,19k-25k,5-10年,本科
高级Java开发工程师,成都智源易行科技有限公司,成都,18k-28k,5-10年,本科
高级java开发工程师,广州希音供应链管理有限公司,广州,20k-35k,5-10年,本科
Java开发工程师,广州讯鸿网络技术有限公司,广州,12k-18k,3-5年,本科
Java开发工程师,上海磐农信息科技有限公司,上海,15k-25k,5-10年,本科
高级java开发工程师,欧特克（中国）软件研发有限公司,上海,30k-50k,5-10年,本科
高级java开发工程师,电讯盈科信息技术（广州）有限公司,广州,17k-28k,5-10年,本科
java开发工程师,广州浩传网络科技有限公司,广州,9k-12k,1-3年,本科
java开发工程师,杭州上行创盈科技有限公司,杭州,20k-35k,3-5年,本科
java开发工程师,上海悦程信息技术有限公司,上海,11k-18k,1-3年,本科
高级java开发工程师,佛山美云智数科技有限公司,武汉,13k-18k,5-10年,大专
java开发工程师,前锦网络信息技术（上海）有限公司,上海,16k-24k,3-5年,本科
高级java开发工程师,深圳市睿服科技有限公司,青岛,14k-17k,3-5年,大专
java开发工程师,北京东方华数信息技术有限公司,北京,10k-15k,3-5年,本科
高级java开发工程师,湖南映秀信息科技有限公司广州分公司,广州,18k-25k,5-10年,本科
java高级开发工程师,淘礼礼贸易（深圳）有限公司,深圳,18k-30k,3-5年,本科
JAVA工程师,广州希音供应链管理有限公司,南京,20k-35k,3-5年,本科
JAVA开发工程师,盛趣信息技术（上海）有限公司,上海,15k-25k,1-3年,不限
java开发工程师,成都承影科技有限责任公司,成都,8k-11k,3-5年,本科
java开发工程师,上海幕库科技发展有限公司,上海,13k-18k,3-5年,本科
JAVA工程师,广东美的制冷设备有限公司,武汉,20k-25k,5-10年,本科
高级java开发工程师,北京欧美澳软件技术有限公司,合肥,12k-20k,5-10年,本科
JAVA工程师,上海咪啰信息科技有限公司,上海,13k-20k,3-5年,本科
java开发工程师,南京叶子科技有限公司,深圳,20k-25k,5-10年,本科
java工程师,深圳楚星软件有限公司,深圳,15k-23k,5-10年,本科
java开发工程师,上海数瞳信息科技有限公司,上海,15k-20k,3-5年,本科
高级java开发工程师,京北方信息技术股份有限公司,北京,20k-22k,5-10年,本科
java开发工程师,上海维信荟智金融科技有限公司,深圳,18k-22k,3-5年,本科
Java开发工程师,北京搜狐新媒体信息技术有限公司,北京,18k-30k,1-3年,本科
java开发工程师,中科软科技股份有限公司,深圳,12k-16k,3-5年,本科
java开发工程师,广东森旭通用设备科技有限公司,佛山,15k-20k,5-10年,本科
java开发工程师,深圳市优诚信息技术有限公司,天津,15k-22k,不限,大专
高级java开发工程师,杭州富阳海康保泰安防技术服务有限公司,杭州,13k-20k,3-5年,本科
java开发工程师,北京中招互连应用科技有限公司,北京,13k-24k,3-5年,本科
java开发工程师,昆仑太科（北京）技术股份有限公司,北京,10k-20k,3-5年,本科
高级java开发工程师,京北方信息技术股份有限公司,北京,18k-21k,5-10年,本科
java开发工程师,西安人瑞网络科技有限公司,杭州,15k-23k,3-5年,大专
java开发工程师,上海亘岩网络科技有限公司,上海,20k-30k,1-3年,本科
java开发工程师,上海睿沃信息科技有限公司,深圳,14k-25k,3-5年,本科
java高级开发工程师,上海森浦信息服务有限公司,上海,15k-22k,3-5年,本科
java开发工程师,中科软科技股份有限公司,北京,8k-15k,1-3年,本科
java开发工程师,上海睿沃信息科技有限公司,上海,18k-26k,5-10年,本科
java开发工程师,上海睿沃信息科技有限公司,上海,18k-26k,5-10年,本科
java开发工程师,金蝶软件（中国）有限公司,郑州,8k-15k,3-5年,本科
java开发工程师,杭州乌鸫科技有限公司,杭州,15k-30k,3-5年,本科
java开发工程师,友邦资讯科技（广州）有限公司,成都,15k-28k,5-10年,本科
